from,to,relationship,time,time2
RonjaMaltzahn,Friedensmusik,,5,NA
RonjaMaltzahn,SH,,5,NA
RonjaMaltzahn,INBP,,5,NA
RonjaMaltzahn,Friedensdorf,,5,NA
FourColours,LGN,,6,NA
MattenZwei,LGN,,6,NA
UweKaa,LGN,,6,NA
BandaInternationale,LGN,,6,NA
BandaInternationale,TPOTH,,5,NA
BandaInternationale,BGH,,5,NA
